0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.41,16.82,17.82,18.82,19.82,20.82,21.82,1.0,1.41,2.41,3.41,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,13.41,14.41,15.41,16.41,17.41,18.41,19.41,20.41,21.41,2.0,2.41,14.82,16.41,16.82,17.82,18.82,19.82,20.82,21.82,3.0,3.41,15.82,17.41,17.82,18.23,19.23,20.23,21.23,22.23,4.0,4.41,16.82,18.41,18.82,19.23,19.64,20.64,21.64,22.64,5.0,5.41,17.82,19.41,19.82,20.23,20.64,21.05,22.05,23.05,6.0,6.41,18.82,20.41,20.82,21.23,21.64,22.05,22.46,23.46,7.0,7.41,19.82,21.41,21.82,22.23,22.64,23.05,23.46,23.87,8.0,8.41,20.82,22.41,22.82,23.23,23.64,24.05,24.46,24.87,9.0,9.41,21.82,23.41,23.82,24.23,24.64,25.05,25.46,25.87,10.0,10.41,22.82,24.41,24.82,25.23,25.64,26.05,26.46,26.87,11.0,11.41,23.82,24.23,25.23,26.23,26.64,27.05,27.46,27.87,12.0,12.41,24.82,25.23,25.64,26.64,27.64,28.05,28.46,28.87,21.82,20.82,19.82,18.82,17.82,16.82,15.82,13.0,13.41,13.82,14.82,15.82,16.82,17.82,18.82,19.82,20.82,21.82,22.82,23.82,24.82,25.82,26.23,27.23,29.64,30.05,31.05,32.05,33.05,21.41,20.41,19.41,18.41,17.41,16.41,15.41,14.41,14.0,14.41,14.82,15.23,16.23,17.23,18.23,19.23,20.23,21.23,22.23,23.23,24.23,25.23,26.23,27.23,27.64,28.64,29.64,30.64,31.64,32.64,21.82,20.82,19.82,18.82,17.82,16.82,15.82,15.0,15.41,15.82,16.23,16.64,17.64,18.64,19.64,20.64,21.64,22.64,23.64,24.64,25.64,26.64,27.64,28.64,29.64,30.05,31.05,32.05,33.05,22.23,21.23,20.23,19.23,18.23,17.23,16.82,16.0,16.41,30.64,31.05,31.46,32.46,33.459999999999994,22.64,21.64,20.64,19.64,18.64,18.23,17.82,17.0,17.41,31.64,32.05,32.46,32.87,33.87,18.0,18.41,32.64,33.05,33.459999999999994,33.87,34.279999999999994,19.0,19.41,33.64,34.05,34.459999999999994,34.86999999999999,35.279999999999994,20.0,20.41,34.64,35.05,35.459999999999994,35.86999999999999,36.27999999999999,21.0,21.41,35.64,36.05,36.459999999999994,36.86999999999999,37.27999999999999,22.0,22.41,36.64,37.05,37.459999999999994,37.86999999999999,38.27999999999999
1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,15.41,15.82,16.82,17.82,18.82,19.82,20.82,1.41,1.0,1.41,2.41,3.41,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,13.41,14.41,15.41,16.41,17.41,18.41,19.41,20.41,2.41,2.0,13.82,15.41,15.82,16.82,17.82,18.82,19.82,20.82,3.41,3.0,14.82,16.41,16.82,17.23,18.23,19.23,20.23,21.23,4.41,4.0,15.82,17.41,17.82,18.23,18.64,19.64,20.64,21.64,5.41,5.0,16.82,18.41,18.82,19.23,19.64,20.05,21.05,22.05,6.41,6.0,17.82,19.41,19.82,20.23,20.64,21.05,21.46,22.46,7.41,7.0,18.82,20.41,20.82,21.23,21.64,22.05,22.46,22.87,8.41,8.0,19.82,21.41,21.82,22.23,22.64,23.05,23.46,23.87,9.41,9.0,20.82,22.41,22.82,23.23,23.64,24.05,24.46,24.87,10.41,10.0,21.82,23.41,23.82,24.23,24.64,25.05,25.46,25.87,11.41,11.0,22.82,23.23,24.23,25.23,25.64,26.05,26.46,26.87,12.41,12.0,23.82,24.23,24.64,25.64,26.64,27.05,27.46,27.87,22.23,21.23,20.23,19.23,18.23,17.23,16.23,13.41,13.0,13.41,14.41,15.41,16.41,17.41,18.41,19.41,20.41,21.41,22.41,23.41,24.41,24.82,25.23,26.23,28.64,29.05,30.05,31.05,32.05,21.82,20.82,19.82,18.82,17.82,16.82,15.82,14.82,14.41,14.0,14.41,14.82,15.82,16.82,17.82,18.82,19.82,20.82,21.82,22.82,23.82,24.82,25.82,26.23,26.64,27.64,28.64,29.64,30.64,31.64,22.23,21.23,20.23,19.23,18.23,17.23,16.23,15.41,15.0,15.41,15.82,16.23,17.23,18.23,19.23,20.23,21.23,22.23,23.23,24.23,25.23,26.23,27.23,27.64,28.64,29.05,30.05,31.05,32.05,22.64,21.64,20.64,19.64,18.64,17.64,17.23,16.41,16.0,29.64,30.05,30.46,31.46,32.46,23.05,22.05,21.05,20.05,19.05,18.64,18.23,17.41,17.0,30.64,31.05,31.46,31.87,32.87,18.41,18.0,31.64,32.05,32.46,32.87,33.28,19.41,19.0,32.64,33.05,33.459999999999994,33.87,34.279999999999994,20.41,20.0,33.64,34.05,34.459999999999994,34.86999999999999,35.279999999999994,21.41,21.0,34.64,35.05,35.459999999999994,35.86999999999999,36.27999999999999,22.41,22.0,35.64,36.05,36.459999999999994,36.86999999999999,37.27999999999999
2.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.41,14.82,15.82,16.82,17.82,18.82,19.82,2.41,1.41,1.0,1.41,2.41,3.41,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,13.41,14.41,15.41,16.41,17.41,18.41,19.41,2.82,2.41,12.82,14.41,14.82,15.82,16.82,17.82,18.82,19.82,3.82,3.41,13.82,15.41,15.82,16.23,17.23,18.23,19.23,20.23,4.82,4.41,14.82,16.41,16.82,17.23,17.64,18.64,19.64,20.64,5.82,5.41,15.82,17.41,17.82,18.23,18.64,19.05,20.05,21.05,6.82,6.41,16.82,18.41,18.82,19.23,19.64,20.05,20.46,21.46,7.82,7.41,17.82,19.41,19.82,20.23,20.64,21.05,21.46,21.87,8.82,8.41,18.82,20.41,20.82,21.23,21.64,22.05,22.46,22.87,9.82,9.41,19.82,21.41,21.82,22.23,22.64,23.05,23.46,23.87,10.82,10.41,20.82,22.41,22.82,23.23,23.64,24.05,24.46,24.87,11.82,11.41,21.82,22.23,23.23,24.23,24.64,25.05,25.46,25.87,12.82,12.41,22.82,23.23,23.64,24.64,25.64,26.05,26.46,26.87,22.64,21.64,20.64,19.64,18.64,17.64,16.64,13.82,13.41,13.82,14.82,15.82,16.82,17.82,18.82,19.82,20.82,21.82,22.82,23.82,24.23,23.82,24.23,25.23,27.64,28.05,29.05,30.05,31.05,22.23,21.23,20.23,19.23,18.23,17.23,16.23,15.23,14.82,14.41,14.82,15.23,16.23,17.23,18.23,19.23,20.23,21.23,22.23,23.23,24.23,25.23,24.82,25.23,25.64,26.64,27.64,28.64,29.64,30.64,22.64,21.64,20.64,19.64,18.64,17.64,16.64,15.82,15.41,15.82,16.23,16.64,17.64,18.64,19.64,20.64,21.64,22.64,23.64,24.64,25.64,25.82,26.23,26.64,27.64,28.05,29.05,30.05,31.05,23.05,22.05,21.05,20.05,19.05,18.05,17.64,16.82,16.41,28.64,29.05,29.46,30.46,31.46,23.46,22.46,21.46,20.46,19.46,19.05,18.64,17.82,17.41,29.64,30.05,30.46,30.87,31.87,18.82,18.41,30.64,31.05,31.46,31.87,32.28,19.82,19.41,31.64,32.05,32.46,32.87,33.28,20.82,20.41,32.64,33.05,33.459999999999994,33.87,34.279999999999994,21.82,21.41,33.64,34.05,34.459999999999994,34.86999999999999,35.279999999999994,22.82,22.41,34.64,35.05,35.459999999999994,35.86999999999999,36.27999999999999
3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,13.41,13.82,14.82,15.82,16.82,17.82,18.82,3.41,2.41,1.41,1.0,1.41,2.41,3.41,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,13.41,14.41,15.41,16.41,17.41,18.41,3.82,2.82,11.82,13.41,13.82,14.82,15.82,16.82,17.82,18.82,4.2299999999999995,3.82,12.82,14.41,14.82,15.23,16.23,17.23,18.23,19.23,5.2299999999999995,4.82,13.82,15.41,15.82,16.23,16.64,17.64,18.64,19.64,6.2299999999999995,5.82,14.82,16.41,16.82,17.23,17.64,18.05,19.05,20.05,7.2299999999999995,6.82,15.82,17.41,17.82,18.23,18.64,19.05,19.46,20.46,8.23,7.82,16.82,18.41,18.82,19.23,19.64,20.05,20.46,20.87,9.23,8.82,17.82,19.41,19.82,20.23,20.64,21.05,21.46,21.87,10.23,9.82,18.82,20.41,20.82,21.23,21.64,22.05,22.46,22.87,11.23,10.82,19.82,21.41,21.82,22.23,22.64,23.05,23.46,23.87,12.23,11.82,20.82,21.23,22.23,23.23,23.64,24.05,24.46,24.87,13.23,12.82,21.82,22.23,22.64,23.64,24.64,25.05,25.46,25.87,23.05,22.05,21.05,20.05,19.05,18.05,17.05,14.23,13.82,14.23,15.23,16.23,17.23,18.23,19.23,20.23,21.23,22.23,23.23,24.23,23.23,22.82,23.23,24.23,26.64,27.05,28.05,29.05,30.05,22.64,21.64,20.64,19.64,18.64,17.64,16.64,15.64,15.23,14.82,15.23,15.64,16.64,17.64,18.64,19.64,20.64,21.64,22.64,23.64,24.64,24.23,23.82,24.23,24.64,25.64,26.64,27.64,28.64,29.64,23.05,22.05,21.05,20.05,19.05,18.05,17.05,16.23,15.82,16.23,16.64,17.05,18.05,19.05,20.05,21.05,22.05,23.05,24.05,25.05,25.23,24.82,25.23,25.64,26.64,27.05,28.05,29.05,30.05,23.46,22.46,21.46,20.46,19.46,18.46,18.05,17.23,16.82,27.64,28.05,28.46,29.46,30.46,23.87,22.87,21.87,20.87,19.87,19.46,19.05,18.23,17.82,28.64,29.05,29.46,29.87,30.87,19.23,18.82,29.64,30.05,30.46,30.87,31.28,20.23,19.82,30.64,31.05,31.46,31.87,32.28,21.23,20.82,31.64,32.05,32.46,32.87,33.28,22.23,21.82,32.64,33.05,33.459999999999994,33.87,34.279999999999994,23.23,22.82,33.64,34.05,34.459999999999994,34.86999999999999,35.279999999999994
4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.41,12.82,13.82,14.82,15.82,16.82,17.82,4.41,3.41,2.41,1.41,1.0,1.41,2.41,3.41,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,13.41,14.41,15.41,16.41,17.41,4.82,3.8200000000000003,10.82,12.41,12.82,13.82,14.82,15.82,16.82,17.82,5.23,4.82,11.82,13.41,13.82,14.23,15.23,16.23,17.23,18.23,6.23,5.82,12.82,14.41,14.82,15.23,15.64,16.64,17.64,18.64,7.23,6.82,13.82,15.41,15.82,16.23,16.64,17.05,18.05,19.05,8.23,7.82,14.82,16.41,16.82,17.23,17.64,18.05,18.46,19.46,9.23,8.82,15.82,17.41,17.82,18.23,18.64,19.05,19.46,19.87,10.23,9.82,16.82,18.41,18.82,19.23,19.64,20.05,20.46,20.87,11.23,10.82,17.82,19.41,19.82,20.23,20.64,21.05,21.46,21.87,12.23,11.82,18.82,20.41,20.82,21.23,21.64,22.05,22.46,22.87,13.23,12.82,19.82,20.23,21.23,22.23,22.64,23.05,23.46,23.87,14.23,13.82,20.82,21.23,21.64,22.64,23.64,24.05,24.46,24.87,24.05,23.05,22.05,21.05,20.05,19.05,18.05,15.23,14.82,15.23,16.23,17.23,18.23,19.23,20.23,21.23,22.23,23.23,24.23,23.23,22.23,21.82,22.23,23.23,25.64,26.05,27.05,28.05,29.05,23.64,22.64,21.64,20.64,19.64,18.64,17.64,16.64,16.23,15.82,16.23,16.64,17.64,18.64,19.64,20.64,21.64,22.64,23.64,24.64,23.64,23.23,22.82,23.23,23.64,24.64,25.64,26.64,27.64,28.64,24.05,23.05,22.05,21.05,20.05,19.05,18.05,17.23,16.82,17.23,17.64,18.05,19.05,20.05,21.05,22.05,23.05,24.05,25.05,24.64,24.23,23.82,24.23,24.64,25.64,26.05,27.05,28.05,29.05,24.46,23.46,22.46,21.46,20.46,19.46,19.05,18.23,17.82,26.64,27.05,27.46,28.46,29.46,24.87,23.87,22.87,21.87,20.87,20.46,20.05,19.23,18.82,27.64,28.05,28.46,28.87,29.87,20.23,19.82,28.64,29.05,29.46,29.87,30.28,21.23,20.82,29.64,30.05,30.46,30.87,31.28,22.23,21.82,30.64,31.05,31.46,31.87,32.28,23.23,22.82,31.64,32.05,32.46,32.87,33.28,24.23,23.82,32.64,33.05,33.459999999999994,33.87,34.279999999999994
5.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.41,11.82,12.82,13.82,14.82,15.82,16.82,5.41,4.41,3.41,2.41,1.41,1.0,1.41,2.41,3.41,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,13.41,14.41,15.41,16.41,5.82,4.82,9.82,11.41,11.82,12.82,13.82,14.82,15.82,16.82,6.23,5.82,10.82,12.41,12.82,13.23,14.23,15.23,16.23,17.23,7.23,6.82,11.82,13.41,13.82,14.23,14.64,15.64,16.64,17.64,8.23,7.82,12.82,14.41,14.82,15.23,15.64,16.05,17.05,18.05,9.23,8.82,13.82,15.41,15.82,16.23,16.64,17.05,17.46,18.46,10.23,9.82,14.82,16.41,16.82,17.23,17.64,18.05,18.46,18.87,11.23,10.82,15.82,17.41,17.82,18.23,18.64,19.05,19.46,19.87,12.23,11.82,16.82,18.41,18.82,19.23,19.64,20.05,20.46,20.87,13.23,12.82,17.82,19.41,19.82,20.23,20.64,21.05,21.46,21.87,14.23,13.82,18.82,19.23,20.23,21.23,21.64,22.05,22.46,22.87,15.23,14.82,19.82,20.23,20.64,21.64,22.64,23.05,23.46,23.87,25.05,24.05,23.05,22.05,21.05,20.05,19.05,16.23,15.82,16.23,17.23,18.23,19.23,20.23,21.23,22.23,23.23,24.23,23.23,22.23,21.23,20.82,21.23,22.23,24.64,25.05,26.05,27.05,28.05,24.64,23.64,22.64,21.64,20.64,19.64,18.64,17.64,17.23,16.82,17.23,17.64,18.64,19.64,20.64,21.64,22.64,23.64,24.64,23.64,22.64,22.23,21.82,22.23,22.64,23.64,24.64,25.64,26.64,27.64,25.05,24.05,23.05,22.05,21.05,20.05,19.05,18.23,17.82,18.23,18.64,19.05,20.05,21.05,22.05,23.05,24.05,25.05,24.05,23.64,23.23,22.82,23.23,23.64,24.64,25.05,26.05,27.05,28.05,25.46,24.46,23.46,22.46,21.46,20.46,20.05,19.23,18.82,25.64,26.05,26.46,27.46,28.46,25.87,24.87,23.87,22.87,21.87,21.46,21.05,20.23,19.82,26.64,27.05,27.46,27.87,28.87,21.23,20.82,27.64,28.05,28.46,28.87,29.28,22.23,21.82,28.64,29.05,29.46,29.87,30.28,23.23,22.82,29.64,30.05,30.46,30.87,31.28,24.23,23.82,30.64,31.05,31.46,31.87,32.28,25.23,24.82,31.64,32.05,32.46,32.87,33.28
6.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.41,10.82,11.82,12.82,13.82,14.82,15.82,6.41,5.41,4.41,3.41,2.41,1.41,1.0,1.41,2.41,3.41,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,13.41,14.41,15.41,6.82,5.82,8.82,10.41,10.82,11.82,12.82,13.82,14.82,15.82,7.23,6.82,9.82,11.41,11.82,12.23,13.23,14.23,15.23,16.23,8.23,7.82,10.82,12.41,12.82,13.23,13.64,14.64,15.64,16.64,9.23,8.82,11.82,13.41,13.82,14.23,14.64,15.05,16.05,17.05,10.23,9.82,12.82,14.41,14.82,15.23,15.64,16.05,16.46,17.46,11.23,10.82,13.82,15.41,15.82,16.23,16.64,17.05,17.46,17.87,12.23,11.82,14.82,16.41,16.82,17.23,17.64,18.05,18.46,18.87,13.23,12.82,15.82,17.41,17.82,18.23,18.64,19.05,19.46,19.87,14.23,13.82,16.82,18.41,18.82,19.23,19.64,20.05,20.46,20.87,15.23,14.82,17.82,18.23,19.23,20.23,20.64,21.05,21.46,21.87,16.23,15.82,18.82,19.23,19.64,20.64,21.64,22.05,22.46,22.87,26.05,25.05,24.05,23.05,22.05,21.05,20.05,17.23,16.82,17.23,18.23,19.23,20.23,21.23,22.23,23.23,24.23,23.23,22.23,21.23,20.23,19.82,20.23,21.23,23.64,24.05,25.05,26.05,27.05,25.64,24.64,23.64,22.64,21.64,20.64,19.64,18.64,18.23,17.82,18.23,18.64,19.64,20.64,21.64,22.64,23.64,24.64,23.64,22.64,21.64,21.23,20.82,21.23,21.64,22.64,23.64,24.64,25.64,26.64,26.05,25.05,24.05,23.05,22.05,21.05,20.05,19.23,18.82,19.23,19.64,20.05,21.05,22.05,23.05,24.05,25.05,24.05,23.05,22.64,22.23,21.82,22.23,22.64,23.64,24.05,25.05,26.05,27.05,26.46,25.46,24.46,23.46,22.46,21.46,21.05,20.23,19.82,24.64,25.05,25.46,26.46,27.46,26.87,25.87,24.87,23.87,22.87,22.46,22.05,21.23,20.82,25.64,26.05,26.46,26.87,27.87,22.23,21.82,26.64,27.05,27.46,27.87,28.28,23.23,22.82,27.64,28.05,28.46,28.87,29.28,24.23,23.82,28.64,29.05,29.46,29.87,30.28,25.23,24.82,29.64,30.05,30.46,30.87,31.28,26.23,25.82,30.64,31.05,31.46,31.87,32.28
7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.41,9.82,10.82,11.82,12.82,13.82,14.82,7.41,6.41,5.41,4.41,3.41,2.41,1.41,1.0,1.41,2.41,3.41,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,13.41,14.41,7.82,6.82,7.82,9.41,9.82,10.82,11.82,12.82,13.82,14.82,8.23,7.82,8.82,10.41,10.82,11.23,12.23,13.23,14.23,15.23,9.23,8.82,9.82,11.41,11.82,12.23,12.64,13.64,14.64,15.64,10.23,9.82,10.82,12.41,12.82,13.23,13.64,14.05,15.05,16.05,11.23,10.82,11.82,13.41,13.82,14.23,14.64,15.05,15.46,16.46,12.23,11.82,12.82,14.41,14.82,15.23,15.64,16.05,16.46,16.87,13.23,12.82,13.82,15.41,15.82,16.23,16.64,17.05,17.46,17.87,14.23,13.82,14.82,16.41,16.82,17.23,17.64,18.05,18.46,18.87,15.23,14.82,15.82,17.41,17.82,18.23,18.64,19.05,19.46,19.87,16.23,15.82,16.82,17.23,18.23,19.23,19.64,20.05,20.46,20.87,17.23,16.82,17.82,18.23,18.64,19.64,20.64,21.05,21.46,21.87,27.05,26.05,25.05,24.05,23.05,22.05,21.05,18.23,17.82,18.23,19.23,20.23,21.23,22.23,23.23,24.23,23.23,22.23,21.23,20.23,19.23,18.82,19.23,20.23,22.64,23.05,24.05,25.05,26.05,26.64,25.64,24.64,23.64,22.64,21.64,20.64,19.64,19.23,18.82,19.23,19.64,20.64,21.64,22.64,23.64,24.64,23.64,22.64,21.64,20.64,20.23,19.82,20.23,20.64,21.64,22.64,23.64,24.64,25.64,27.05,26.05,25.05,24.05,23.05,22.05,21.05,20.23,19.82,20.23,20.64,21.05,22.05,23.05,24.05,25.05,24.05,23.05,22.05,21.64,21.23,20.82,21.23,21.64,22.64,23.05,24.05,25.05,26.05,27.46,26.46,25.46,24.46,23.46,22.46,22.05,21.23,20.82,23.64,24.05,24.46,25.46,26.46,27.87,26.87,25.87,24.87,23.87,23.46,23.05,22.23,21.82,24.64,25.05,25.46,25.87,26.87,23.23,22.82,25.64,26.05,26.46,26.87,27.28,24.23,23.82,26.64,27.05,27.46,27.87,28.28,25.23,24.82,27.64,28.05,28.46,28.87,29.28,26.23,25.82,28.64,29.05,29.46,29.87,30.28,27.23,26.82,29.64,30.05,30.46,30.87,31.28
8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.41,8.82,9.82,10.82,11.82,12.82,13.82,8.41,7.41,6.41,5.41,4.41,3.41,2.41,1.41,1.0,1.41,2.41,3.41,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,13.41,8.82,7.82,6.82,8.41,8.82,9.82,10.82,11.82,12.82,13.82,9.23,8.82,7.82,9.41,9.82,10.23,11.23,12.23,13.23,14.23,10.23,9.82,8.82,10.41,10.82,11.23,11.64,12.64,13.64,14.64,11.23,10.82,9.82,11.41,11.82,12.23,12.64,13.05,14.05,15.05,12.23,11.82,10.82,12.41,12.82,13.23,13.64,14.05,14.46,15.46,13.23,12.82,11.82,13.41,13.82,14.23,14.64,15.05,15.46,15.870000000000001,14.23,13.82,12.82,14.41,14.82,15.23,15.64,16.05,16.46,16.87,15.23,14.82,13.82,15.41,15.82,16.23,16.64,17.05,17.46,17.87,16.23,15.82,14.82,16.41,16.82,17.23,17.64,18.05,18.46,18.87,17.23,16.82,15.82,16.23,17.23,18.23,18.64,19.05,19.46,19.87,18.23,17.82,16.82,17.23,17.64,18.64,19.64,20.05,20.46,20.87,28.05,27.05,26.05,25.05,24.05,23.05,22.05,19.23,18.82,19.23,20.23,21.23,22.23,23.23,24.23,23.23,22.23,21.23,20.23,19.23,18.23,17.82,18.23,19.23,21.64,22.05,23.05,24.05,25.05,27.64,26.64,25.64,24.64,23.64,22.64,21.64,20.64,20.23,19.82,20.23,20.64,21.64,22.64,23.64,24.64,23.64,22.64,21.64,20.64,19.64,19.23,18.82,19.23,19.64,20.64,21.64,22.64,23.64,24.64,28.05,27.05,26.05,25.05,24.05,23.05,22.05,21.23,20.82,21.23,21.64,22.05,23.05,24.05,25.05,24.05,23.05,22.05,21.05,20.64,20.23,19.82,20.23,20.64,21.64,22.05,23.05,24.05,25.05,28.46,27.46,26.46,25.46,24.46,23.46,23.05,22.23,21.82,22.64,23.05,23.46,24.46,25.46,28.87,27.87,26.87,25.87,24.87,24.46,24.05,23.23,22.82,23.64,24.05,24.46,24.87,25.87,24.23,23.82,24.64,25.05,25.46,25.87,26.28,25.23,24.82,25.64,26.05,26.46,26.87,27.28,26.23,25.82,26.64,27.05,27.46,27.87,28.28,27.23,26.82,27.64,28.05,28.46,28.87,29.28,28.23,27.82,28.64,29.05,29.46,29.87,30.28
9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,7.41,7.82,8.82,9.82,10.82,11.82,12.82,9.41,8.41,7.41,6.41,5.41,4.41,3.41,2.41,1.41,1.0,1.41,2.41,3.41,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,9.82,8.82,5.82,7.41,7.82,8.82,9.82,10.82,11.82,12.82,10.23,9.82,6.82,8.41,8.82,9.23,10.23,11.23,12.23,13.23,11.23,10.82,7.82,9.41,9.82,10.23,10.64,11.64,12.64,13.64,12.23,11.82,8.82,10.41,10.82,11.23,11.64,12.05,13.05,14.05,13.23,12.82,9.82,11.41,11.82,12.23,12.64,13.05,13.46,14.46,14.23,13.82,10.82,12.41,12.82,13.23,13.64,14.05,14.46,14.870000000000001,15.23,14.82,11.82,13.41,13.82,14.23,14.64,15.05,15.46,15.870000000000001,16.23,15.82,12.82,14.41,14.82,15.23,15.64,16.05,16.46,16.87,17.23,16.82,13.82,15.41,15.82,16.23,16.64,17.05,17.46,17.87,18.23,17.82,14.82,15.23,16.23,17.23,17.64,18.05,18.46,18.87,19.23,18.82,15.82,16.23,16.64,17.64,18.64,19.05,19.46,19.87,29.05,28.05,27.05,26.05,25.05,24.05,23.05,20.23,19.82,20.23,21.23,22.23,23.23,24.23,23.23,22.23,21.23,20.23,19.23,18.23,17.23,16.82,17.23,18.23,20.64,21.05,22.05,23.05,24.05,28.64,27.64,26.64,25.64,24.64,23.64,22.64,21.64,21.23,20.82,21.23,21.64,22.64,23.64,24.64,23.64,22.64,21.64,20.64,19.64,18.64,18.23,17.82,18.23,18.64,19.64,20.64,21.64,22.64,23.64,29.05,28.05,27.05,26.05,25.05,24.05,23.05,22.23,21.82,22.23,22.64,23.05,24.05,25.05,24.05,23.05,22.05,21.05,20.05,19.64,19.23,18.82,19.23,19.64,20.64,21.05,22.05,23.05,24.05,29.46,28.46,27.46,26.46,25.46,24.46,24.05,23.23,22.82,21.64,22.05,22.46,23.46,24.46,29.87,28.87,27.87,26.87,25.87,25.46,25.05,24.23,23.82,22.64,23.05,23.46,23.87,24.87,25.23,24.82,23.64,24.05,24.46,24.87,25.28,26.23,25.82,24.64,25.05,25.46,25.87,26.28,27.23,26.82,25.64,26.05,26.46,26.87,27.28,28.23,27.82,26.64,27.05,27.46,27.87,28.28,29.23,28.82,27.64,28.05,28.46,28.87,29.28
